Product Name,Current Price,Typical Price,Rating,Total Reviews,Delivery Charges,Fabric Type,Care Instructions,Origin,Customer Reviews
MAGCOMSEN Men's Short Sleeve Moisture Wicking Shirts Athletic Running Workout T-Shirts Performance Breathable Tshirt,"PKR 2,782.71 with 60 percent savings","PKR6,958.18",4.1 out of 5 stars,(49),"PKR 17,796.56 Shipping & Import Charges to Pakistan",100% Polyester,Imported,Pull On,"{'Hubby loves them!': '5 out of 5 stars', 'Perfect combination of fit, comfort and breathability': '5 out of 5 stars', 'Great lightweight workout shirt - picking up more!': '5 out of 5 stars', 'to thin': '1 out of 5 stars', 'Nice tee shirt': '4 out of 5 stars', ""Men's Moisture Wicking Shirt"": '5 out of 5 stars', 'Comfortable, Durable, and Well-Fitting': '5 out of 5 stars', 'very light and comfortable': '5 out of 5 stars'}"
Kewlioo Men's Heat Trapping Zipper Sweat Enhancing Vest - Sauna Suit Shirt Compression Vest Shapewear Top for Gym Exercise,"PKR 6,682.41",,4.2 out of 5 stars,"(6,804)","PKR 17,896.84 Shipping & Import Charges to Pakistan","Outer: 90% Polyester, 10% Spandex. Inner: 100% Polyurethane",Machine Wash,Imported,"{'Passt die Größe': '3 out of 5 stars', 'Gym': '5 out of 5 stars', 'Buena calidad': '5 out of 5 stars', 'confortable': '5 out of 5 stars', ""Produit négligeable surtout au prix de l'investissement Ah revoir"": '1 out of 5 stars'}"
HOTSUIT Sauna Suit for Men Sweat Sauna Jacket Pant Gym Workout Sweat Suits,"PKR 11,417.76",,4.6 out of 5 stars,"(9,967)","PKR 21,008.24 Shipping & Import Charges to Pakistan",Polyester,Hand Wash Only,Imported,"{'Super zum Abnehmen': '5 out of 5 stars', 'Bonne qualité': '5 out of 5 stars', 'Sportif XL DOIT UN XXL': '5 out of 5 stars', 'Good Buy': '5 out of 5 stars', 'Super Anzug': '5 out of 5 stars'}"
INTO THE AM Mens T Shirts Soft Cotton Blend Crew Neck Tee S - 4XL Athletic Fit Plain Casual T-Shirt for Men,"PKR 3,328.67",,4.4 out of 5 stars,"(31,438)","PKR 20,387.07 Shipping & Import Charges to Pakistan","60% Cotton, 40% Polyester",Machine Wash,Made in the USA or Imported,"{'Good': '5 out of 5 stars', 'Valor Precio': '5 out of 5 stars', 'Great product!': '5 out of 5 stars', 'EXCELENTE PRODUCTO': '5 out of 5 stars', 'Love these shirts': '5 out of 5 stars'}"
Kinglaman 1/5 Pack Mesh Workout Shirts for Men Dry Fit Gym Quick Dry Athletic Short Sleeve Sports T-Shirt Moisture Wicking,"PKR 6,682.41",,4.6 out of 5 stars,"(2,810)","PKR 24,442.76 Shipping & Import Charges to Pakistan",1OO% Polyester,Machine Wash,Imported,"{'Value for money!': '5 out of 5 stars', 'Well made stylish shirt at a bargain price': '5 out of 5 stars', 'Follow washing Instructions': '5 out of 5 stars', 'Soft and comfy': '5 out of 5 stars', 'Breathable and Light, But Fit Runs a Bit Off': '4 out of 5 stars', 'Good quality, good fit': '5 out of 5 stars', 'Shirts': '5 out of 5 stars', 'Awesome': '5 out of 5 stars'}"
PUMA Men's 5 Pack Performance Boxer Briefs,"PKR 6,334.23 with 29 percent savings","PKR8,913.60",4.6 out of 5 stars,"(3,334)","PKR 22,119.66 Shipping & Import Charges to Pakistan","90% Polyester, 10% Spandex",Machine Wash,Imported,"{'Gut': '5 out of 5 stars', 'comfy': '5 out of 5 stars', 'Perfect fit and comfortable': '5 out of 5 stars', ""Puma mes's"": '5 out of 5 stars', 'Great product.': '5 out of 5 stars'}"
KEEPSHOWING Mens Oversized T Shirts Acid Wash Loose Fit Vintage Washed Tee Shirt Short Sleeve Streetwear Casual T-Shirts,"PKR 9,261.79 with 28 percent savings","PKR12,810.51",4.6 out of 5 stars,(548),"PKR 25,821.58 Shipping & Import Charges to Pakistan",100% Cotton,Machine Wash,Imported,"{'Very good soft shirts to wear!': '5 out of 5 stars', 'Super comfortable': '5 out of 5 stars', 'Great t shirts': '5 out of 5 stars', 'Fits true to size not oversized': '3 out of 5 stars'}"
"Reebok Men's Strike Short Sleeve Crewneck T-Shirt, Standard Fit, Lightweight Stretch Poly Jersey Fabric","PKR 4,033.40",,4.8 out of 5 stars,(81),"PKR 18,838.34 Shipping & Import Charges to Pakistan","94% Polyester, 6% Spandex",Machine Wash,Imported,{'Buen producto precio y calidad': '5 out of 5 stars'}
5 Pack Men’s Active Quick Dry Crew Neck T Shirts | Athletic Running Gym Workout Short Sleeve Tee Tops Bulk,"PKR 11,128.07",,4.6 out of 5 stars,"(55,500)","PKR 24,807.66 Shipping & Import Charges to Pakistan","90% Polyester, 10% Spandex",Machine Wash,"Designed in USA, Imported","{'Excellent quality, good value, true to size': '5 out of 5 stars', 'Bra passform': '5 out of 5 stars', 'Great Quality! Great Price!': '5 out of 5 stars', 'ممتازة': '5 out of 5 stars', 'Quick dry sports shirts are good': '5 out of 5 stars'}"
"Kinglaman 4 Pack Mens 2 in 1 Running Workout Shorts with Liner, Gym Athletic Quick Dry Sport Shorts with Pockets","PKR 10,025.01",,4.5 out of 5 stars,"(1,679)","PKR 26,309.05 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,{'شورت': '5 out of 5 stars'}
"Reebok Men's Big Short Sleeve Crewneck T-Shirt, Standard Fit, Lightweight Cotton-Poly Jersey Fabric","PKR 4,387.16",,5.0 out of 5 stars,(69),"PKR 19,896.83 Shipping & Import Charges to Pakistan","60% Cotton, 40% Polyester",Machine Wash,Imported,"{'Excelente calidad': '5 out of 5 stars', 'Excelente elección': '5 out of 5 stars', 'Reebok': '5 out of 5 stars', 'Buso': '5 out of 5 stars', 'Recomendada': '5 out of 5 stars', 'Great Looking Reebok T-Shirt!': '5 out of 5 stars', 'Durable Athletic Tee with Consistent Sizing': '5 out of 5 stars', ""A good staple to have in any man's closet!"": '5 out of 5 stars'}"
